,Ticker,Stock Price,Market Cap,52 Week Change,Number of Shares to Buy
0,MMM,178.7,101377000000,152.9703817839411,N/A
1,ABT,121.5,212194000000,81.5545710833669,N/A
2,ABBV,107.3,190256000000,88.66303090398281,N/A
3,ABMD,320.4,14680000000,155.06727325525117,N/A
