,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-8314,9,11,1.20274,1.20277,-0.24941999999978792,-2.494304671007974e-05,2021-05-03 00:45:00,2021-05-03 00:55:00,0 days 00:10:00
1,8313,11,16,1.20277,1.20257,-1.662599999999817,-0.0001662828304662689,2021-05-03 00:55:00,2021-05-03 01:20:00,0 days 00:25:00
2,-8313,16,20,1.20257,1.20255,0.16625999999924335,1.663104850435637e-05,2021-05-03 01:20:00,2021-05-03 01:40:00,0 days 00:20:00
3,8314,20,21,1.20255,1.20264,0.7482599999993638,7.484096295362619e-05,2021-05-03 01:40:00,2021-05-03 01:45:00,0 days 00:05:00
4,-8314,21,24,1.20264,1.20272,-0.6651200000006652,-6.652032195852975e-05,2021-05-03 01:45:00,2021-05-03 02:00:00,0 days 00:15:00
5,8313,24,25,1.20272,1.20291,1.5794699999992723,0.00015797525608607366,2021-05-03 02:00:00,2021-05-03 02:05:00,0 days 00:05:00
6,-8313,25,27,1.20291,1.20263,2.3276399999986364,0.000232768868826283,2021-05-03 02:05:00,2021-05-03 02:15:00,0 days 00:10:00
7,8316,27,29,1.20263,1.20282,1.580039999999272,0.0001579870783199322,2021-05-03 02:15:00,2021-05-03 02:25:00,0 days 00:10:00
8,-8316,29,30,1.20282,1.20275,0.5821200000001205,5.819657139061185e-05,2021-05-03 02:25:00,2021-05-03 02:30:00,0 days 00:05:00
9,8317,30,31,1.20275,1.20292,1.413890000000029,0.00014134275618382652,2021-05-03 02:30:00,2021-05-03 02:35:00,0 days 00:05:00
10,-8317,31,36,1.20292,1.20273,1.580229999999272,0.00015794899078902525,2021-05-03 02:35:00,2021-05-03 03:00:00,0 days 00:25:00
11,8320,36,39,1.20273,1.20269,-0.33280000000033283,-3.3257672129249904e-05,2021-05-03 03:00:00,2021-05-03 03:15:00,0 days 00:15:00
12,-8320,39,44,1.20269,1.20298,-2.41279999999918,-0.00024112614223104067,2021-05-03 03:15:00,2021-05-03 03:40:00,0 days 00:25:00
13,8316,44,45,1.20298,1.20313,1.2474000000007859,0.0001246903522917897,2021-05-03 03:40:00,2021-05-03 03:45:00,0 days 00:05:00
14,-8316,45,46,1.20313,1.20307,0.49895999999957574,4.986992261846179e-05,2021-05-03 03:45:00,2021-05-03 03:50:00,0 days 00:05:00
15,8317,46,47,1.20307,1.20328,1.746569999998515,0.0001745534341308641,2021-05-03 03:50:00,2021-05-03 03:55:00,0 days 00:05:00
16,-8317,47,50,1.20328,1.20289,3.2436299999990887,0.0003241140881589111,2021-05-03 03:55:00,2021-05-03 04:10:00,0 days 00:15:00
17,8322,50,51,1.20289,1.20314,2.080500000000695,0.0002078328026668963,2021-05-03 04:10:00,2021-05-03 04:15:00,0 days 00:05:00
18,-8322,51,53,1.20314,1.20318,-0.33287999999848505,-3.3246338746684145e-05,2021-05-03 04:15:00,2021-05-03 04:25:00,0 days 00:10:00
19,8322,53,54,1.20318,1.20326,0.6657600000006658,6.649046692941418e-05,2021-05-03 04:25:00,2021-05-03 04:30:00,0 days 00:05:00
20,-8322,54,56,1.20326,1.20317,0.7489799999993632,7.479680202115979e-05,2021-05-03 04:30:00,2021-05-03 04:40:00,0 days 00:10:00
21,8323,56,57,1.20317,1.20321,0.3329199999984849,3.3245509778234705e-05,2021-05-03 04:40:00,2021-05-03 04:45:00,0 days 00:05:00
22,-8323,57,58,1.20321,1.20289,2.6633599999989674,0.0002659552364091544,2021-05-03 04:45:00,2021-05-03 04:50:00,0 days 00:05:00
23,8327,58,70,1.20289,1.2023,-4.912930000000753,-0.000490485414293973,2021-05-03 04:50:00,2021-05-03 05:50:00,0 days 01:00:00
24,-8327,70,71,1.2023,1.20199,2.5813700000002706,0.00025783914164523303,2021-05-03 05:50:00,2021-05-03 05:55:00,0 days 00:05:00
25,8332,71,73,1.20199,1.20214,1.2498000000007874,0.00012479305152290898,2021-05-03 05:55:00,2021-05-03 06:05:00,0 days 00:10:00
26,-8332,73,78,1.20214,1.20218,-0.3332800000003333,-3.327399470953729e-05,2021-05-03 06:05:00,2021-05-03 06:30:00,0 days 00:25:00
27,8331,78,79,1.20218,1.20222,0.33324000000033327,3.327288758758762e-05,2021-05-03 06:30:00,2021-05-03 06:35:00,0 days 00:05:00
28,-8331,79,80,1.20222,1.20215,0.5831700000001208,5.822561594381881e-05,2021-05-03 06:35:00,2021-05-03 06:40:00,0 days 00:05:00
