,index,Ticker,Stock Price,4 Week Change,4 Week Percentile,12 Week Change,12 Week Percentile,26 Week Change,26 Week Percentile,52 Week Change,52 Week Percentile,HQM Score
0,0,MMM,199.0,0.020305371466483778,N/A,0.016993030911470773,N/A,0.17782871610495163,N/A,0.25431687992123164,N/A,N/A
1,1,ABT,118.2,0.04407956990523593,N/A,0.005996012739208009,N/A,0.07006824080853606,N/A,0.22081866374331185,N/A,N/A
2,2,ABBV,117.5,0.04592922514518805,N/A,0.06000002189602018,N/A,0.04945835161590125,N/A,0.2170734393838284,N/A,N/A
3,3,ABMD,317.0,0.0514658380700826,N/A,0.024288272879072162,N/A,-0.05562424576743723,N/A,0.12145827225963214,N/A,N/A
4,4,ACN,314.2,0.0842123188635291,N/A,0.09890675778544492,N/A,0.21775510201701506,N/A,0.4389902022368348,N/A,N/A
5,5,ATVI,90.4,-0.040880518485326894,N/A,0.0033994686949694692,N/A,-0.038057218692753976,N/A,0.1438930171723855,N/A,N/A
6,6,ADBE,623.6,0.06295857352709923,N/A,0.23120352446392073,N/A,0.3324036797287026,N/A,0.4544630584186347,N/A,N/A
7,7,AMD,91.2,0.058222319570693244,N/A,0.1290124776397148,N/A,0.038309876347931336,N/A,0.3278097910634287,N/A,N/A
8,8,AAP,210.2,0.05104886177607952,N/A,0.07389085239576554,N/A,0.30130770359186626,N/A,0.4595640029355062,N/A,N/A
9,9,AES,24.3,-0.09913309461160724,N/A,-0.14090582743691557,N/A,-0.14703785767040717,N/A,0.5519480656202258,N/A,N/A
10,10,AFL,53.1,0.0,N/A,-0.006700178920875879,N/A,0.1340840921049144,N/A,0.4514549433631064,N/A,N/A
11,11,A,150.3,0.029608633135081497,N/A,0.1397036684691235,N/A,0.1889001392002708,N/A,0.6064761257320389,N/A,N/A
12,12,APD,288.4,0.004289987214395894,N/A,0.00627425641175371,N/A,0.01301650969467725,N/A,-0.004219197705486726,N/A,N/A
13,13,AKAM,116.9,0.021971442831526116,N/A,0.09972405033687953,N/A,0.09308705420958259,N/A,0.06980493288775047,N/A,N/A
14,14,ALK,57.9,-0.05207486937688333,N/A,-0.1575065010960772,N/A,0.04371973780091491,N/A,0.6614374705750955,N/A,N/A
15,15,ALB,192.7,0.1259982411549346,N/A,0.13189039766943475,N/A,0.05638494658111335,N/A,1.1869255985905955,N/A,N/A
16,16,ALGN,627.9,0.02696616237440813,N/A,0.07178479320425485,N/A,0.13096024738937548,N/A,1.1408734082525815,N/A,N/A
17,17,ALL,128.2,-7.702895441955684e-05,N/A,0.02318613856977737,N/A,0.16882887831679336,N/A,0.3749470607668819,N/A,N/A
18,18,GOOGL,2568.4,0.08551775830384666,N/A,0.1303590604750903,N/A,0.415000571696337,N/A,0.7638791134720316,N/A,N/A
19,19,GOOG,2666.5,0.08670992437905553,N/A,0.1436442726248327,N/A,0.46076635364679314,N/A,0.8231197637768637,N/A,N/A
20,20,MO,46.9,0.006570609819538462,N/A,-0.0054449910268733635,N/A,0.1280285843159577,N/A,0.13476710657070462,N/A,N/A
21,21,AMZN,3638.0,0.06177607491415283,N/A,0.05457082642612398,N/A,0.12050696636234062,N/A,0.2152706459777865,N/A,N/A
22,22,AMCR,11.3,-0.021645021287579204,N/A,-0.03829785610767121,N/A,0.006233361651998368,N/A,0.05904405903807064,N/A,N/A
23,23,AAL,21.1,-0.008882591497451518,N/A,-0.02394100215718327,N/A,0.3110699234949138,N/A,0.8612818370429365,N/A,N/A
24,24,AEP,84.8,0.012720869395102252,N/A,-0.030774385703008163,N/A,0.06476784342951819,N/A,-0.02350936539556308,N/A,N/A
25,25,AXP,170.9,0.050977023660105515,N/A,0.12931193859151083,N/A,0.3431052380697668,N/A,0.8166368336244609,N/A,N/A
26,26,AIG,47.5,-0.013552913335898736,N/A,-0.02352939879663428,N/A,0.12428705595674742,N/A,0.5110189134545569,N/A,N/A
27,27,AMT,281.6,0.0495603252408625,N/A,0.1196765905791518,N/A,0.2804561061526249,N/A,0.11286242230268015,N/A,N/A
28,28,AWK,164.4,0.063179319428726,N/A,0.07231231734132607,N/A,0.023684274911468205,N/A,0.15741765380182135,N/A,N/A
29,29,AMP,246.8,0.00940906029328658,N/A,-0.03680338518369185,N/A,0.16762054378726918,N/A,0.6030529962352283,N/A,N/A
30,30,ABC,118.2,0.05725989033592942,N/A,0.0042218087247682095,N/A,0.1688023556077005,N/A,0.16914027622437036,N/A,N/A
31,31,AMGN,244.8,0.02009555656565898,N/A,0.03371725025719439,N/A,-0.01838642961811005,N/A,-0.0010484495173618724,N/A,N/A
32,32,APH,68.9,0.0380116727502907,N/A,0.05435111168917568,N/A,0.06009707529047802,N/A,0.3602835600177335,N/A,N/A
33,33,ADI,162.0,-0.04115614686653172,N/A,0.06783754989044079,N/A,0.023274736770855342,N/A,0.4575350181460741,N/A,N/A
34,34,ANSS,358.2,0.04660152031084521,N/A,-0.0007110697451758049,N/A,-0.03499273792045087,N/A,0.24493196735697464,N/A,N/A
35,35,ANTM,384.3,0.00364929028803098,N/A,0.007643832954253317,N/A,0.18900852702089976,N/A,0.41332405023074625,N/A,N/A
36,36,AON,232.5,-0.03507241607570761,N/A,-0.07540568934843807,N/A,0.09691418821140846,N/A,0.12217018768303348,N/A,N/A
37,37,APA,17.5,-0.13409422301938448,N/A,-0.08950004577636719,N/A,0.04235831712669217,N/A,0.28239431894858885,N/A,N/A
38,38,AAPL,146.8,0.10224068039844482,N/A,0.130077513855191,N/A,0.12519881036224687,N/A,0.6040598281621252,N/A,N/A
