,Close,High,Low,Open,Volume
2020-03-06,48.59000015258789,49.540000915527344,46.7400016784668,49.439998626708984,124590900
2020-03-09,43.27000045776367,46.34000015258789,42.5099983215332,43.029998779296875,80859800
2020-03-10,45.380001068115234,45.439998626708984,43.099998474121094,45.40999984741211,76228200
2020-03-11,45.70000076293945,45.970001220703125,43.79999923706055,44.189998626708984,101601100
2020-03-12,39.0099983215332,42.5,39.0,42.0,107461500
2020-03-13,43.900001525878906,43.90999984741211,39.599998474121094,42.20000076293945,86689700
2020-03-16,38.709999084472656,43.369998931884766,38.5099983215332,39.08000183105469,84545900
2020-03-17,41.880001068115234,42.880001068115234,38.29999923706055,40.189998626708984,92741900
2020-03-18,39.119998931884766,41.95000076293945,36.75,39.540000915527344,106949300
2020-03-19,39.81999969482422,41.70000076293945,37.689998626708984,39.560001373291016,88939000
2020-03-20,39.61000061035156,42.47999954223633,39.58000183105469,41.5099983215332,106859500
2020-03-23,41.63999938964844,42.31999969482422,38.95000076293945,40.619998931884766,101704700
2020-03-24,46.220001220703125,46.810001373291016,43.9900016784668,44.040000915527344,106794200
2020-03-25,44.630001068115234,47.880001068115234,44.43000030517578,46.790000915527344,93760400
2020-03-26,47.5,47.5,45.400001525878906,45.779998779296875,73680200
2020-03-27,46.58000183105469,47.97999954223633,45.900001525878906,46.31999969482422,74599200
2020-03-30,47.86000061035156,48.459999084472656,46.65999984741211,47.2400016784668,68486600
2020-03-31,45.47999954223633,48.529998779296875,45.15999984741211,47.93000030517578,83483700
2020-04-01,43.65999984741211,46.849998474121094,43.15999984741211,44.18000030517578,92083100
2020-04-02,44.4900016784668,45.279998779296875,43.099998474121094,43.400001525878906,79024100
2020-04-03,42.59000015258789,44.84000015258789,41.70000076293945,44.29999923706055,79335000
2020-04-06,47.52000045776367,47.58000183105469,44.060001373291016,44.29999923706055,82294000
2020-04-07,47.560001373291016,49.650001525878906,46.68000030517578,48.959999084472656,102098700
2020-04-08,48.790000915527344,49.0,47.61000061035156,48.06999969482422,64930800
2020-04-09,48.380001068115234,50.25,47.720001220703125,49.650001525878906,80357400
2020-04-13,50.939998626708984,51.06999969482422,48.22999954223633,48.470001220703125,64290100
2020-04-14,54.93000030517578,55.13999938964844,52.11000061035156,52.2400016784668,85306800
2020-04-15,54.9900016784668,55.56999969482422,53.40999984741211,53.72999954223633,83814000
2020-04-16,56.95000076293945,58.08000183105469,55.630001068115234,55.959999084472656,103106500
2020-04-17,56.599998474121094,57.7599983215332,55.54999923706055,57.349998474121094,76908800
2020-04-20,56.970001220703125,58.630001068115234,55.849998474121094,55.97999954223633,72367300
2020-04-21,52.91999816894531,57.72999954223633,51.40999984741211,56.900001525878906,123906400
2020-04-22,55.91999816894531,56.150001525878906,54.34000015258789,54.90999984741211,63164100
2020-04-23,55.900001525878906,57.290000915527344,55.63999938964844,56.650001525878906,69662700
2020-04-24,56.18000030517578,56.779998779296875,54.41999816894531,55.099998474121094,72854800
2020-04-27,56.4900016784668,58.0,56.25,57.439998626708984,62568100
2020-04-28,55.5099983215332,57.349998474121094,55.29999923706055,57.15999984741211,80501800
2020-04-29,53.65999984741211,54.86000061035156,52.7400016784668,54.529998779296875,110800900
2020-04-30,52.38999938964844,54.290000915527344,52.029998779296875,53.43000030517578,65543900
2020-05-01,49.880001068115234,51.95000076293945,49.09000015258789,51.06999969482422,69562700
2020-05-04,52.560001373291016,52.61000061035156,49.72999954223633,49.81999969482422,62590600
2020-05-05,52.189998626708984,53.5099983215332,51.290000915527344,53.43000030517578,56560500
2020-05-06,52.15999984741211,53.310001373291016,51.880001068115234,52.41999816894531,48138100
2020-05-07,51.95000076293945,52.970001220703125,51.619998931884766,52.93000030517578,48956600
2020-05-08,53.189998626708984,53.27000045776367,51.810001373291016,52.150001525878906,40774200
2020-05-11,55.7400016784668,55.88999938964844,52.75,52.900001525878906,68746400
2020-05-12,53.7599983215332,56.58000183105469,53.75,56.209999084472656,55631100
2020-05-13,52.18000030517578,55.220001220703125,51.29999923706055,54.040000915527344,76824700
