,index,Ticker,Stock Price,4 Week Change,4 Week Percentile,12 Week Change,12 Week Percentile,26 Week Change,26 Week Percentile,52 Week Change,52 Week Percentile,HQM Score
446,446,TWTR,74.5,0.4633497489913255,0.998003992015968,0.6315900551657083,0.9880239520958084,0.9031858326539768,0.9680638722554891,1.3344441525865116,0.9780439121756487,0.9830339321357285
469,469,VIAC,62.5,0.23237140468622386,0.9321357285429142,0.7731646895164627,0.9940119760479043,1.333212709401214,0.996007984031936,1.6994558188106574,0.9920159680638723,0.9785429141716566
143,143,DISCA,51.3,0.25902184530098027,0.9500998003992016,0.8692279594846085,1.0,1.3248575195486516,0.9920159680638723,1.1495743257112836,0.9660678642714571,0.9770459081836327
429,429,TPR,42.4,0.3230768880670222,0.9880239520958084,0.47963483381220196,0.9840319361277444,1.7488584213548397,1.0,0.8361654897065509,0.9301397205588822,0.9755489021956087
144,144,DISCK,43.4,0.2857142857142857,0.9640718562874251,0.7828843267856512,0.996007984031936,1.176015441776247,0.9900199600798403,0.89155099908505,0.940119760479042,0.9725548902195609
276,276,LB,52.3,0.3057811526618859,0.9780439121756487,0.41349889929159284,0.9700598802395209,0.8447519877013023,0.9580838323353293,1.3713666662308588,0.9820359281437127,0.9720558882235529
203,203,FCX,35.6,0.20120440656322527,0.9021956087824351,0.4082225894871664,0.9640718562874251,1.3289834388826762,0.9940119760479043,2.4602039987174056,0.9940119760479043,0.9635728542914171
497,497,ZBRA,497.6,0.2569652670424508,0.9421157684630738,0.3600664586951414,0.9461077844311377,0.8135370424136579,0.9560878243512974,1.334548729839325,0.9800399201596807,0.9560878243512974
135,135,DE,348.0,0.19475721339548457,0.8962075848303394,0.34795364910111004,0.9421157684630738,0.6997079137847191,0.9321357285429142,1.1821362780820983,0.9720558882235529,0.9356287425149701
46,46,AMAT,113.9,0.16777001788886112,0.8522954091816368,0.3857427737451149,0.9580838323353293,0.8542516367917548,0.9600798403193613,1.073508814761513,0.9540918163672655,0.9311377245508983
296,296,MRO,11.3,0.5122616009151115,1.0,0.8316832485609708,0.998003992015968,1.0366973889796192,0.9820359281437127,0.3997478715955074,0.7265469061876247,0.9266467065868264
452,452,UAA,21.5,0.21678708550021678,0.9221556886227544,0.3412990072904663,0.936127744510978,1.1376953006765687,0.9880239520958084,0.5646890455880871,0.844311377245509,0.9226546906187625
422,422,SIVB,523.1,0.10695898780546907,0.7445109780439122,0.43100663764897035,0.9740518962075848,1.0266281044057062,0.9800399201596807,1.3908785401228847,0.9860279441117764,0.9211576846307385
458,458,URI,295.1,0.1741156282219643,0.8662674650698602,0.28513402215491823,0.9041916167664671,0.6803978235381456,0.9201596806387226,1.2938908229164792,0.9760479041916167,0.9166666666666666
314,314,MU,88.1,0.1380081863981641,0.8063872255489022,0.3244103309353344,0.9261477045908184,1.091636249772369,0.9840319361277444,0.8096084512812345,0.9221556886227544,0.9096806387225549
332,332,NWSA,23.2,0.21063498951647583,0.9121756487025948,0.27514962160027284,0.8982035928143712,0.5770007359389956,0.874251497005988,0.9656328720097155,0.9500998003992016,0.9086826347305389
178,178,EXPE,157.1,0.26472895632642207,0.9540918163672655,0.25909123752094027,0.8762475049900199,0.6865703073968283,0.9221556886227544,0.6310404365643006,0.8662674650698602,0.904690618762475
138,138,DVN,21.3,0.2852029010362616,0.9620758483033931,0.4554054485088368,0.9800399201596807,0.9981448468543211,0.9780439121756487,0.3746012004246072,0.6946107784431138,0.903692614770459
