Date,Open,High,Low,Close,Volume,NotSure
2021.05.03 00:00,1.20301,1.20301,1.20194,1.20263,12,0
2021.05.03 00:05,1.20263,1.20293,1.20245,1.2029,42,0
2021.05.03 00:10,1.20289,1.20296,1.20274,1.20274,63,0
2021.05.03 00:15,1.20274,1.20283,1.2027,1.2028,23,0
2021.05.03 00:20,1.20281,1.20288,1.20268,1.20285,25,0
2021.05.03 00:25,1.20282,1.2029,1.20262,1.20274,58,0
2021.05.03 00:30,1.20278,1.2028,1.20257,1.2027,39,0
2021.05.03 00:35,1.2027,1.20282,1.20269,1.20276,36,0
2021.05.03 00:40,1.20272,1.20279,1.20272,1.20274,55,0
2021.05.03 00:45,1.20274,1.2029,1.20258,1.20281,49,0
2021.05.03 00:50,1.20284,1.20285,1.2027,1.20276,80,0
2021.05.03 00:55,1.20277,1.20286,1.20268,1.20268,34,0
2021.05.03 01:00,1.2027,1.2027,1.20246,1.20259,126,0
2021.05.03 01:05,1.2026,1.20265,1.20254,1.20256,38,0
2021.05.03 01:10,1.20255,1.20258,1.20249,1.20249,37,0
2021.05.03 01:15,1.20249,1.20261,1.20243,1.20258,47,0
2021.05.03 01:20,1.20257,1.20262,1.20255,1.20261,37,0
2021.05.03 01:25,1.20261,1.20265,1.20259,1.20261,32,0
2021.05.03 01:30,1.20262,1.20265,1.20258,1.20265,28,0
2021.05.03 01:35,1.20265,1.20265,1.20245,1.20256,58,0
2021.05.03 01:40,1.20255,1.20262,1.20253,1.20259,34,0
2021.05.03 01:45,1.20264,1.20286,1.20264,1.20275,64,0
2021.05.03 01:50,1.20275,1.20278,1.20269,1.20276,33,0
2021.05.03 01:55,1.20277,1.20279,1.2027,1.20271,27,0
2021.05.03 02:00,1.20272,1.20293,1.20269,1.20291,51,0
2021.05.03 02:05,1.20291,1.20292,1.20269,1.20283,59,0
2021.05.03 02:10,1.20287,1.20291,1.20251,1.20259,68,0
2021.05.03 02:15,1.20263,1.20275,1.20259,1.20274,67,0
2021.05.03 02:20,1.20273,1.20283,1.20272,1.20283,28,0
2021.05.03 02:25,1.20282,1.20283,1.20268,1.20276,33,0
2021.05.03 02:30,1.20275,1.20295,1.20275,1.20295,73,0
2021.05.03 02:35,1.20292,1.20298,1.20281,1.20291,52,0
2021.05.03 02:40,1.20291,1.20293,1.20287,1.2029,64,0
2021.05.03 02:45,1.20289,1.20294,1.20288,1.20292,33,0
2021.05.03 02:50,1.2029,1.20303,1.2029,1.20302,37,0
2021.05.03 02:55,1.20302,1.20302,1.20271,1.20273,110,0
2021.05.03 03:00,1.20273,1.20275,1.20203,1.2022,168,0
2021.05.03 03:05,1.20221,1.20237,1.20213,1.20234,85,0
2021.05.03 03:10,1.20234,1.20272,1.20234,1.2027,125,0
2021.05.03 03:15,1.20269,1.203,1.20261,1.203,120,0
2021.05.03 03:20,1.203,1.20307,1.20288,1.20304,110,0
2021.05.03 03:25,1.20304,1.20318,1.20298,1.20313,153,0
2021.05.03 03:30,1.20313,1.2032,1.20296,1.20307,116,0
2021.05.03 03:35,1.20307,1.20309,1.20291,1.20297,84,0
2021.05.03 03:40,1.20298,1.20314,1.20294,1.20313,74,0
2021.05.03 03:45,1.20313,1.20316,1.20294,1.20303,69,0
2021.05.03 03:50,1.20307,1.20329,1.20303,1.20328,60,0
2021.05.03 03:55,1.20328,1.20339,1.20327,1.20339,77,0
2021.05.03 04:00,1.20339,1.20355,1.20337,1.20338,99,0
2021.05.03 04:05,1.20338,1.20342,1.20291,1.20291,83,0
2021.05.03 04:10,1.20289,1.20319,1.20287,1.20315,120,0
2021.05.03 04:15,1.20314,1.20338,1.20312,1.20334,103,0
2021.05.03 04:20,1.20334,1.20336,1.20316,1.20317,57,0
2021.05.03 04:25,1.20318,1.2033,1.20304,1.20326,105,0
2021.05.03 04:30,1.20326,1.20339,1.20323,1.20335,98,0
2021.05.03 04:35,1.20335,1.20341,1.20322,1.20324,89,0
2021.05.03 04:40,1.20317,1.20328,1.20303,1.20321,73,0
2021.05.03 04:45,1.20321,1.20322,1.20284,1.20289,126,0
2021.05.03 04:50,1.20289,1.20312,1.20284,1.20306,88,0
2021.05.03 04:55,1.20282,1.20306,1.20268,1.20278,112,0
2021.05.03 05:00,1.20278,1.20278,1.20255,1.2026,103,0
2021.05.03 05:05,1.2026,1.20265,1.20244,1.20244,94,0
2021.05.03 05:10,1.20244,1.20244,1.20215,1.20224,143,0
2021.05.03 05:15,1.20224,1.20237,1.20215,1.20235,96,0
2021.05.03 05:20,1.20235,1.20247,1.20233,1.2024,61,0
2021.05.03 05:25,1.2024,1.2024,1.20214,1.20225,35,0
2021.05.03 05:30,1.20226,1.20231,1.20215,1.2022,73,0
2021.05.03 05:35,1.20219,1.20227,1.20217,1.20221,46,0
2021.05.03 05:40,1.20223,1.20226,1.20214,1.2022,54,0
2021.05.03 05:45,1.2022,1.20231,1.20219,1.2023,39,0
2021.05.03 05:50,1.2023,1.2023,1.20194,1.20198,64,0
2021.05.03 05:55,1.20199,1.20202,1.20183,1.20194,73,0
2021.05.03 06:00,1.20194,1.20217,1.20194,1.20214,53,0
2021.05.03 06:05,1.20214,1.20218,1.20199,1.20218,47,0
2021.05.03 06:10,1.20218,1.20225,1.20208,1.20225,87,0
2021.05.03 06:15,1.20225,1.20231,1.20222,1.20229,34,0
2021.05.03 06:20,1.20224,1.2023,1.20217,1.2022,33,0
2021.05.03 06:25,1.20218,1.20222,1.2021,1.20216,52,0
2021.05.03 06:30,1.20218,1.20225,1.2021,1.2022,66,0
2021.05.03 06:35,1.20222,1.20224,1.20215,1.20219,59,0
2021.05.03 06:40,1.20215,1.2023,1.20215,1.2023,39,0
2021.05.03 06:45,1.20229,1.20234,1.20227,1.20232,52,0
2021.05.03 06:50,1.20231,1.20241,1.20228,1.20236,49,0
2021.05.03 06:55,1.20236,1.20236,1.20224,1.20224,80,0
2021.05.03 07:00,1.20227,1.20228,1.20206,1.2021,90,0
2021.05.03 07:05,1.20211,1.20219,1.20202,1.20208,110,0
2021.05.03 07:10,1.20208,1.20218,1.20206,1.20218,71,0
2021.05.03 07:15,1.20218,1.20218,1.202,1.20204,67,0
2021.05.03 07:20,1.20206,1.20211,1.20197,1.20203,83,0
2021.05.03 07:25,1.20203,1.20205,1.20181,1.20182,63,0
2021.05.03 07:30,1.20183,1.20184,1.20174,1.20177,39,0
2021.05.03 07:35,1.20176,1.2019,1.2017,1.20186,110,0
2021.05.03 07:40,1.20186,1.202,1.20185,1.20199,93,0
2021.05.03 07:45,1.20201,1.20211,1.20198,1.20203,68,0
2021.05.03 07:50,1.20203,1.2021,1.202,1.2021,24,0
2021.05.03 07:55,1.2021,1.20222,1.20204,1.2021,56,0
2021.05.03 08:00,1.2021,1.20215,1.20189,1.20189,110,0
2021.05.03 08:05,1.20189,1.2021,1.20189,1.20208,57,0
2021.05.03 08:10,1.20208,1.2022,1.20203,1.20217,70,0
2021.05.03 08:15,1.20218,1.20219,1.20182,1.20185,69,0
2021.05.03 08:20,1.20185,1.20192,1.20173,1.20177,62,0
2021.05.03 08:25,1.20177,1.20183,1.20172,1.20175,80,0
2021.05.03 08:30,1.20176,1.2018,1.20163,1.20174,78,0
2021.05.03 08:35,1.20173,1.20198,1.20171,1.20198,56,0
2021.05.03 08:40,1.20198,1.20207,1.20198,1.20205,39,0
2021.05.03 08:45,1.20205,1.20209,1.20195,1.20206,49,0
2021.05.03 08:50,1.20206,1.20213,1.2019,1.20196,110,0
2021.05.03 08:55,1.20194,1.2022,1.20186,1.20219,138,0
2021.05.03 09:00,1.20219,1.20219,1.20163,1.20169,262,0
2021.05.03 09:05,1.20168,1.20178,1.20129,1.2015,209,0
2021.05.03 09:10,1.20149,1.20184,1.20149,1.20173,117,0
2021.05.03 09:15,1.20174,1.20191,1.20157,1.20185,111,0
2021.05.03 09:20,1.2018,1.20196,1.20175,1.20192,98,0
2021.05.03 09:25,1.20192,1.20221,1.20183,1.2022,204,0
2021.05.03 09:30,1.20218,1.20218,1.20185,1.20189,185,0
2021.05.03 09:35,1.20188,1.2019,1.20167,1.20169,143,0
2021.05.03 09:40,1.2016,1.20226,1.20159,1.20225,253,0
2021.05.03 09:45,1.2022,1.20226,1.20209,1.2022,170,0
2021.05.03 09:50,1.2022,1.2022,1.20184,1.20194,172,0
2021.05.03 09:55,1.20194,1.20397,1.20194,1.20379,697,0
2021.05.03 10:00,1.20378,1.20413,1.20358,1.20368,452,0
2021.05.03 10:05,1.2036,1.20396,1.20358,1.20392,217,0
2021.05.03 10:10,1.20393,1.20402,1.20368,1.20393,151,0
2021.05.03 10:15,1.20392,1.20408,1.20375,1.20378,217,0
2021.05.03 10:20,1.20379,1.2039,1.2036,1.20367,241,0
2021.05.03 10:25,1.20366,1.20371,1.20329,1.20338,227,0
2021.05.03 10:30,1.20338,1.20364,1.20322,1.20347,186,0
